"filename", "language", "pip requirements", "Python", "HTML", "Markdown", "comment", "blank", "total"
"d:\django projects\Full project code\adnan-game-animal\1.html", "HTML", 0, 0, 45, 0, 4, 3, 52
"d:\django projects\Full project code\adnan-game-animal\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 3
"d:\django projects\Full project code\adnan-game-animal\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\accounts\admin.py", "Python", 0, 1, 0, 0, 1, 2, 4
"d:\django projects\Full project code\adnan-game-animal\accounts\apps.py", "Python", 0, 4, 0, 0, 0, 3, 7
"d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0001_initial.py", "Python", 0, 17, 0, 0, 1, 7, 25
"d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0002_room_created_players_room_created_table_and_more.py", "Python", 0, 27, 0, 0, 1, 6, 34
"d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0003_played.py", "Python", 0, 15, 0, 0, 1, 6, 22
"d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0004_room_created_date.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\accounts\models.py", "Python", 0, 13, 0, 0, 0, 6, 19
"d:\django projects\Full project code\adnan-game-animal\accounts\templatetags\num.py", "Python", 0, 9, 0, 0, 0, 2, 11
"d:\django projects\Full project code\adnan-game-animal\accounts\tests.py", "Python", 0, 1, 0, 0, 1, 2, 4
"d:\django projects\Full project code\adnan-game-animal\accounts\urls.py", "Python", 0, 24, 0, 0, 0, 8, 32
"d:\django projects\Full project code\adnan-game-animal\accounts\views.py", "Python", 0, 348, 0, 0, 9, 87, 444
"d:\django projects\Full project code\adnan-game-animal\animal\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animal\admin.py", "Python", 0, 6, 0, 0, 0, 3, 9
"d:\django projects\Full project code\adnan-game-animal\animal\apps.py", "Python", 0, 4, 0, 0, 0, 3, 7
"d:\django projects\Full project code\adnan-game-animal\animal\channels\__init__.py", "Python", 0, 8, 0, 0, 0, 4, 12
"d:\django projects\Full project code\adnan-game-animal\animal\channels\apps.py", "Python", 0, 9, 0, 0, 4, 7, 20
"d:\django projects\Full project code\adnan-game-animal\animal\channels\auth.py", "Python", 0, 128, 0, 0, 40, 23, 191
"d:\django projects\Full project code\adnan-game-animal\animal\channels\consumer.py", "Python", 0, 66, 0, 0, 47, 21, 134
"d:\django projects\Full project code\adnan-game-animal\animal\channels\db.py", "Python", 0, 10, 0, 0, 4, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\channels\exceptions.py", "Python", 0, 16, 0, 0, 27, 23, 66
"d:\django projects\Full project code\adnan-game-animal\animal\channels\generic\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animal\channels\generic\http.py", "Python", 0, 39, 0, 0, 40, 13, 92
"d:\django projects\Full project code\adnan-game-animal\animal\channels\generic\websocket.py", "Python", 0, 155, 0, 0, 82, 43, 280
"d:\django projects\Full project code\adnan-game-animal\animal\channels\hacks.py", "Python", 0, 6, 0, 0, 5, 3, 14
"d:\django projects\Full project code\adnan-game-animal\animal\channels\http.py", "Python", 0, 256, 0, 0, 81, 31, 368
"d:\django projects\Full project code\adnan-game-animal\animal\channels\layers.py", "Python", 0, 212, 0, 0, 98, 56, 366
"d:\django projects\Full project code\adnan-game-animal\animal\channels\management\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animal\channels\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animal\channels\management\commands\runserver.py", "Python", 0, 134, 0, 0, 21, 16, 171
"d:\django projects\Full project code\adnan-game-animal\animal\channels\management\commands\runworker.py", "Python", 0, 35, 0, 0, 3, 9, 47
"d:\django projects\Full project code\adnan-game-animal\animal\channels\middleware.py", "Python", 0, 6, 0, 0, 18, 3, 27
"d:\django projects\Full project code\adnan-game-animal\animal\channels\routing.py", "Python", 0, 117, 0, 0, 52, 26, 195
"d:\django projects\Full project code\adnan-game-animal\animal\channels\security\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\django projects\Full project code\adnan-game-animal\animal\channels\security\websocket.py", "Python", 0, 69, 0, 0, 68, 17, 154
"d:\django projects\Full project code\adnan-game-animal\animal\channels\sessions.py", "Python", 0, 175, 0, 0, 65, 29, 269
"d:\django projects\Full project code\adnan-game-animal\animal\channels\signals.py", "Python", 0, 5, 0, 0, 1, 3, 9
"d:\django projects\Full project code\adnan-game-animal\animal\channels\staticfiles.py", "Python", 0, 39, 0, 0, 27, 17, 83
"d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\__init__.py", "Python", 0, 10, 0, 0, 0, 3, 13
"d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\http.py", "Python", 0, 34, 0, 0, 17, 6, 57
"d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\live.py", "Python", 0, 45, 0, 0, 9, 14, 68
"d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\websocket.py", "Python", 0, 58, 0, 0, 34, 11, 103
"d:\django projects\Full project code\adnan-game-animal\animal\channels\utils.py", "Python", 0, 41, 0, 0, 15, 5, 61
"d:\django projects\Full project code\adnan-game-animal\animal\channels\worker.py", "Python", 0, 23, 0, 0, 15, 7, 45
"d:\django projects\Full project code\adnan-game-animal\animal\consumers.py", "Python", 0, 638, 0, 0, 14, 42, 694
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0001_initial.py", "Python", 0, 33, 0, 0, 1, 7, 41
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0002_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0003_alter_summeryofletter_all_letter_as_and_more.py", "Python", 0, 18, 0, 0, 1, 6, 25
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0004_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0005_startingroom_alter_summeryofletter_time.py", "Python", 0, 21, 0, 0, 1, 6, 28
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0006_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
