Date : 2023-05-14 13:51:06
Directory : d:\django projects\Full project code\adnan-game-animal
Total : 216 files,  12971 codes, 1205 comments, 3270 blanks, all 17446 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| HTML             |         39 |      7,286 |        232 |      1,767 |      9,285 |
| Python           |        175 |      5,481 |        973 |      1,503 |      7,957 |
| pip requirements |          1 |        201 |          0 |          0 |        201 |
| Markdown         |          1 |          3 |          0 |          0 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        216 |     12,971 |      1,205 |      3,270 |     17,446 |
| . (Files)                                                                                                                             |          4 |        264 |          7 |          8 |        279 |
| accounts                                                                                                                              |         13 |        473 |         15 |        137 |        625 |
| accounts (Files)                                                                                                                      |          7 |        391 |         11 |        109 |        511 |
| accounts\migrations                                                                                                                   |          5 |         73 |          4 |         26 |        103 |
| accounts\templatetags                                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| animal                                                                                                                                |        101 |      3,957 |        857 |      1,015 |      5,829 |
| animal (Files)                                                                                                                        |          9 |      1,307 |         22 |        241 |      1,570 |
| animal\channels                                                                                                                       |         29 |      1,696 |        773 |        400 |      2,869 |
| animal\channels (Files)                                                                                                               |         16 |      1,117 |        499 |        264 |      1,880 |
| animal\channels\generic                                                                                                               |          3 |        194 |        122 |         57 |        373 |
| animal\channels\management                                                                                                            |          4 |        169 |         24 |         27 |        220 |
| animal\channels\management (Files)                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| animal\channels\management\commands                                                                                                   |          3 |        169 |         24 |         26 |        219 |
| animal\channels\security                                                                                                              |          2 |         69 |         68 |         18 |        155 |
| animal\channels\testing                                                                                                               |          4 |        147 |         60 |         34 |        241 |
| animal\migrations                                                                                                                     |         63 |        954 |         62 |        374 |      1,390 |
| animals                                                                                                                               |          5 |        129 |         51 |         44 |        224 |
| gameadmin                                                                                                                             |         12 |        213 |          7 |         65 |        285 |
| gameadmin (Files)                                                                                                                     |          8 |        165 |          4 |         45 |        214 |
| gameadmin\migrations                                                                                                                  |          4 |         48 |          3 |         20 |         71 |
| letter                                                                                                                                |          9 |        126 |         10 |         30 |        166 |
| letter (Files)                                                                                                                        |          8 |        126 |         10 |         29 |        165 |
| letter\migrations                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| quiz                                                                                                                                  |         34 |        568 |         30 |        207 |        805 |
| quiz (Files)                                                                                                                          |          8 |        238 |          5 |         55 |        298 |
| quiz\migrations                                                                                                                       |         26 |        330 |         25 |        152 |        507 |
| templates                                                                                                                             |         38 |      7,241 |        228 |      1,764 |      9,233 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\django projects\Full project code\adnan-game-animal\1.html                                                                         | HTML             |         45 |          4 |          3 |         52 |
| d:\django projects\Full project code\adnan-game-animal\README.md                                                                      | Markdown         |          3 |          0 |          0 |          3 |
| d:\django projects\Full project code\adnan-game-animal\accounts\__init__.py                                                           | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\accounts\admin.py                                                              | Python           |          1 |          1 |          2 |          4 |
| d:\django projects\Full project code\adnan-game-animal\accounts\apps.py                                                               | Python           |          4 |          0 |          3 |          7 |
| d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0001_initial.py                                            | Python           |         17 |          1 |          7 |         25 |
| d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0002_room_created_players_room_created_table_and_more.py   | Python           |         27 |          1 |          6 |         34 |
| d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0003_played.py                                             | Python           |         15 |          1 |          6 |         22 |
| d:\django projects\Full project code\adnan-game-animal\accounts\migrations\0004_room_created_date.py                                  | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\accounts\migrations\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\accounts\models.py                                                             | Python           |         13 |          0 |          6 |         19 |
| d:\django projects\Full project code\adnan-game-animal\accounts\templatetags\num.py                                                   | Python           |          9 |          0 |          2 |         11 |
| d:\django projects\Full project code\adnan-game-animal\accounts\tests.py                                                              | Python           |          1 |          1 |          2 |          4 |
| d:\django projects\Full project code\adnan-game-animal\accounts\urls.py                                                               | Python           |         24 |          0 |          8 |         32 |
| d:\django projects\Full project code\adnan-game-animal\accounts\views.py                                                              | Python           |        348 |          9 |         87 |        444 |
| d:\django projects\Full project code\adnan-game-animal\animal\__init__.py                                                             | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animal\admin.py                                                                | Python           |          6 |          0 |          3 |          9 |
| d:\django projects\Full project code\adnan-game-animal\animal\apps.py                                                                 | Python           |          4 |          0 |          3 |          7 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\__init__.py                                                    | Python           |          8 |          0 |          4 |         12 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\apps.py                                                        | Python           |          9 |          4 |          7 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\auth.py                                                        | Python           |        128 |         40 |         23 |        191 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\consumer.py                                                    | Python           |         66 |         47 |         21 |        134 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\db.py                                                          | Python           |         10 |          4 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\exceptions.py                                                  | Python           |         16 |         27 |         23 |         66 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\generic\__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\generic\http.py                                                | Python           |         39 |         40 |         13 |         92 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\generic\websocket.py                                           | Python           |        155 |         82 |         43 |        280 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\hacks.py                                                       | Python           |          6 |          5 |          3 |         14 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\http.py                                                        | Python           |        256 |         81 |         31 |        368 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\layers.py                                                      | Python           |        212 |         98 |         56 |        366 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\management\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\management\commands\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\management\commands\runserver.py                               | Python           |        134 |         21 |         16 |        171 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\management\commands\runworker.py                               | Python           |         35 |          3 |          9 |         47 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\middleware.py                                                  | Python           |          6 |         18 |          3 |         27 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\routing.py                                                     | Python           |        117 |         52 |         26 |        195 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\security\__init__.py                                           | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\security\websocket.py                                          | Python           |         69 |         68 |         17 |        154 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\sessions.py                                                    | Python           |        175 |         65 |         29 |        269 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\signals.py                                                     | Python           |          5 |          1 |          3 |          9 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\staticfiles.py                                                 | Python           |         39 |         27 |         17 |         83 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\__init__.py                                            | Python           |         10 |          0 |          3 |         13 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\http.py                                                | Python           |         34 |         17 |          6 |         57 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\live.py                                                | Python           |         45 |          9 |         14 |         68 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\testing\websocket.py                                           | Python           |         58 |         34 |         11 |        103 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\utils.py                                                       | Python           |         41 |         15 |          5 |         61 |
| d:\django projects\Full project code\adnan-game-animal\animal\channels\worker.py                                                      | Python           |         23 |         15 |          7 |         45 |
| d:\django projects\Full project code\adnan-game-animal\animal\consumers.py                                                            | Python           |        638 |         14 |         42 |        694 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0001_initial.py                                              | Python           |         33 |          1 |          7 |         41 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0002_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0003_alter_summeryofletter_all_letter_as_and_more.py         | Python           |         18 |          1 |          6 |         25 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0004_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0005_startingroom_alter_summeryofletter_time.py              | Python           |         21 |          1 |          6 |         28 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0006_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0007_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0008_delete_startingroom_alter_summeryofletter_time.py       | Python           |         16 |          1 |          6 |         23 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0009_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0010_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0011_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0012_array_alter_summeryofletter_time.py                     | Python           |         21 |          1 |          6 |         28 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0013_alter_array_status_alter_summeryofletter_time.py        | Python           |         18 |          1 |          6 |         25 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0014_alter_array_status_alter_summeryofletter_time.py        | Python           |         18 |          1 |          6 |         25 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0015_players_alter_summeryofletter_time.py                   | Python           |         21 |          1 |          6 |         28 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0016_alter_players_players_alter_summeryofletter_time.py     | Python           |         18 |          1 |          6 |         25 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0017_alter_adnan_test11_letter_alter_summeryofletter_time.py | Python           |         18 |          1 |          6 |         25 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0018_alter_summeryofletter_time.py                           | Python           |         13 |          1 |          6 |         20 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0019_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0020_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0021_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0022_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0023_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0024_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0025_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0026_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0027_room_created_alter_summeryofletter_time.py              | Python           |         24 |          1 |          6 |         31 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0028_alter_room_created_room_created_and_more.py             | Python           |         19 |          1 |          6 |         26 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0029_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0030_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0031_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0032_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0033_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0034_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0035_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0036_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0037_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0038_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0039_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0040_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0041_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0042_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0043_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0044_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0045_lang_alter_summeryofletter_time.py                      | Python           |         21 |          1 |          6 |         28 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0046_lang_user_alter_summeryofletter_time.py                 | Python           |         19 |          1 |          6 |         26 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0047_alter_lang_user_alter_summeryofletter_time.py           | Python           |         19 |          1 |          6 |         26 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0048_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0049_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0050_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0051_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0052_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0053_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0054_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0055_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0056_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0057_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0058_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0059_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0060_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0061_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\0062_alter_summeryofletter_time.py                           | Python           |         14 |          1 |          6 |         21 |
| d:\django projects\Full project code\adnan-game-animal\animal\migrations\__init__.py                                                  | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animal\models.py                                                               | Python           |         39 |          0 |          6 |         45 |
| d:\django projects\Full project code\adnan-game-animal\animal\routing.py                                                              | Python           |          5 |          0 |          2 |          7 |
| d:\django projects\Full project code\adnan-game-animal\animal\tests.py                                                                | Python           |          1 |          1 |          2 |          4 |
| d:\django projects\Full project code\adnan-game-animal\animal\urls.py                                                                 | Python           |         30 |          0 |          8 |         38 |
| d:\django projects\Full project code\adnan-game-animal\animal\views.py                                                                | Python           |        584 |          7 |        174 |        765 |
| d:\django projects\Full project code\adnan-game-animal\animals\__init__.py                                                            | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\animals\asgi.py                                                                | Python           |         21 |          1 |          4 |         26 |
| d:\django projects\Full project code\adnan-game-animal\animals\settings.py                                                            | Python           |         97 |         27 |         32 |        156 |
| d:\django projects\Full project code\adnan-game-animal\animals\urls.py                                                                | Python           |          7 |         15 |          2 |         24 |
| d:\django projects\Full project code\adnan-game-animal\animals\wsgi.py                                                                | Python           |          4 |          8 |          5 |         17 |
| d:\django projects\Full project code\adnan-game-animal\gameadmin\__init__.py                                                          | Python           |          0 |          0 |          1 |          1 |
| d:\django projects\Full project code\adnan-game-animal\gameadmin\admin.py                                                             | Python           |          1 |          1 |          2 |          4 |
| d:\django projects\Full project code\adnan-game-animal\gameadmin\apps.py                                                              | Python           |          4 |          0 |          3 |          7 |
| d:\django projects\Full project code\adnan-game-animal\gameadmin\consumers.py                                                         | Python           |        141 |          1 |         29 |        171 |
| d:\django projects\Full project code\adnan-game-animal\gameadmin\migrations\0001_initial.py                                           | Python           |         16 |          1 |          7 |         24 |
| d:\django projects\Full project code\adnan-game-animal\gameadmin\migrations\0002_room.py                                              | Python           |         14 |          1 |          6 |         21 |
